,Unnamed: 0,Client ID,Client tenure year,Client tenure month,Client age,Gender,Number of accounts,Balance,Calls in the last 6 months,Log ons in the last 6 months,Variation,confirm,start,step_1,step_2,step_3,visit_duration
42457,42457,9808183,6.0,80.0,30.0,U,2.0,56259.61,5.0,8.0,Control,1,0,1,1,1,4
42458,42458,33463,4.0,59.0,34.0,U,2.0,41910.54,2.0,5.0,Control,1,2,3,3,3,11
42459,42459,6853744,5.0,71.0,23.0,U,2.0,52729.51,2.0,5.0,Control,0,2,0,0,0,7
42460,42460,6192766,7.0,84.0,64.0,U,2.0,32085.1,5.0,8.0,Test,1,1,1,1,1,9
42461,42461,1752337,5.0,69.0,30.0,U,2.0,36036.49,1.0,4.0,Test,1,1,1,1,1,2
42462,42462,5379193,9.0,115.0,28.0,U,2.0,110759.84,2.0,5.0,Control,1,1,1,1,1,2
42463,42463,7319663,7.0,86.0,25.0,U,2.0,56297.03,0.0,3.0,Control,1,2,2,1,1,6
42464,42464,7340401,6.0,83.0,52.0,U,2.0,196482.98,3.0,6.0,Test,0,1,1,3,3,5
42465,42465,2341480,7.0,94.0,56.0,U,2.0,27111.17,0.0,3.0,Control,1,1,1,1,1,5
42466,42466,9252902,17.0,208.0,46.0,M,2.0,232519.42,6.0,9.0,Control,0,1,1,1,1,3
42467,42467,4829849,5.0,60.0,64.0,U,2.0,139128.06,1.0,4.0,Control,1,2,1,1,1,13
42468,42468,5363561,4.0,59.0,22.0,U,2.0,39799.81,5.0,8.0,Control,1,2,2,2,1,0
42469,42469,3510217,5.0,71.0,57.0,U,2.0,26339.4,5.0,8.0,Test,0,2,1,0,0,5
42470,42470,5992389,4.0,58.0,63.0,M,3.0,31708.01,1.0,4.0,Test,0,3,1,1,0,4
42471,42471,754987,45.0,550.0,70.0,F,2.0,93784.69,3.0,6.0,Control,0,3,1,1,1,2
42472,42472,6050920,8.0,98.0,48.0,U,2.0,60757.28,0.0,3.0,Test,1,1,1,2,2,3
42473,42473,7043532,25.0,300.0,54.0,F,2.0,36127.84,3.0,6.0,Control,1,1,1,1,1,5
42475,42475,1666074,21.0,255.0,78.0,U,2.0,122744.14,1.0,4.0,Test,9,6,4,7,5,24
42476,42476,684071,21.0,253.0,64.0,F,5.0,177225.17,0.0,3.0,Control,1,1,1,1,1,10
42477,42477,3492512,20.0,251.0,71.0,M,3.0,369054.21,6.0,9.0,Test,5,4,2,1,1,6
42478,42478,3739896,20.0,247.0,24.0,F,2.0,34552.7,3.0,6.0,Test,1,1,1,1,1,2
42479,42479,1169570,17.0,210.0,39.0,M,2.0,27643.9,6.0,9.0,Control,0,2,0,0,0,1
42480,42480,2397250,6.0,78.0,36.0,U,2.0,32068.39,0.0,3.0,Test,1,1,1,1,1,11
42481,42481,6253013,8.0,101.0,35.0,M,3.0,60911.09,3.0,6.0,Test,0,5,2,0,0,0
42482,42482,9470219,26.0,322.0,64.0,F,2.0,114188.89,2.0,5.0,Test,1,1,1,1,1,3
42483,42483,1626836,15.0,181.0,47.0,F,2.0,31571.35,6.0,9.0,Test,0,3,1,1,0,2
42484,42484,383469,15.0,180.0,59.0,M,4.0,1877442.2,6.0,9.0,Test,0,3,0,0,0,4
42486,42486,319618,14.0,171.0,45.0,F,2.0,70659.92,1.0,4.0,Test,1,1,1,1,1,1
42487,42487,7242210,13.0,156.0,30.0,F,4.0,194390.04,5.0,8.0,Test,1,1,1,1,1,2
42488,42488,2234064,5.0,68.0,28.0,M,3.0,66765.42,6.0,9.0,Test,2,1,1,1,1,2
42489,42489,4468190,6.0,72.0,68.0,U,2.0,40903.41,6.0,9.0,Test,1,1,1,1,1,3
42490,42490,2357486,7.0,84.0,30.0,U,2.0,60538.68,1.0,4.0,Test,1,3,3,1,1,7
42491,42491,8083493,12.0,151.0,76.0,M,2.0,155545.11,2.0,5.0,Control,1,2,1,1,1,16
42493,42493,7033412,4.0,58.0,59.0,U,2.0,50093.15,2.0,5.0,Test,0,14,9,7,2,0
42494,42494,1852606,8.0,105.0,62.0,F,2.0,96395.21,5.0,8.0,Control,1,2,2,1,1,36
42495,42495,5201417,5.0,67.0,67.0,U,2.0,58666.1,1.0,4.0,Test,1,1,1,1,1,4
42496,42496,7062086,12.0,147.0,31.0,F,4.0,123130.71,6.0,9.0,Test,0,2,1,1,0,1
42497,42497,5086758,27.0,325.0,44.0,M,3.0,141056.79,3.0,6.0,Test,1,3,1,1,1,18
